ccvm,name,cnpj,type,situation
505188,AGROPEC ARUANA SA,04.407.979/0001-78,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 26/05/1995
517763,AGROPEC BAIXO AMAZONAS SA,04.851.523/0001-00,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 01/08/2016
509647,AGROPEC BARRA DAS PRINCESAS SA,05.426.804/0001-70,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/08/1998
506966,AGROPEC BEBEDOURO SA,04.987.376/0001-92,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 24/10/2012
502286,AGROPEC BELA VISTA SA,21.363.270/0001-37,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
508799,AGROPEC BELO HORIZONTE SA,04.022.489/0001-53,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
506524,AGROPEC BELO VALE SA,11.527.439/0001-93,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 08/04/1997
503967,AGROPEC BETANIA SA,21.706.502/0001-02,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
511781,AGROPEC BOA ESPERANCA SA,12.791.281/0001-27,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
507890,AGROPEC BOA SORTE SA,04.880.829/0001-87,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
506648,AGROPEC BOA VISTA SA,13.951.272/0001-19,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
506745,AGROPEC BOA VISTA SA,31.690.746/0001-06,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 22/10/2003
520497,AGROPEC BOA VISTA SA,13.951.272/0001-19,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 11/10/2016
508608,AGROPEC BONOMO SA,31.499.015/0001-70,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
520489,AGROPEC BONOMO SA,31.499.015/0001-70,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 10/10/2016
502952,AGROPEC BRITO IRMAOS SA,08.021.867/0001-35,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
514381,AGROPEC CAJABI SA,04.818.803/0001-09,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
511374,AGROPEC CAMBOA SA,12.799.904/0001-08,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
510327,AGROPEC CAMPO ALEGRE SA,11.523.610/0001-96,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
506591,AGROPEC CAMPOS SA,08.668.238/0001-00,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/08/1998
509272,AGROPEC CANAFISTULA SA,09.192.642/0001-04,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 24/03/1998
506222,AGROPEC CAROCA SA,11.848.025/0001-66,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
510661,AGROPEC CAROPA SA,04.132.437/0001-30,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
519430,AGROPEC CAROPA SA,04.132.437/0001-30,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 03/12/2012
509868,AGROPEC CASCAVEL SA - AGROCASA,07.127.053/0001-17,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
500372,AGROPEC CAXIRIMBU SA,08.896.839/0001-61,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
515116,AGROPEC CEARENSE SA - ACESA,10.767.341/0001-40,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
513210,AGROPEC CEDROMINAS SA,17.438.920/0001-99,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 23/10/1992
513717,AGROPEC CORACI PARANA SA,14.714.653/0001-47,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
513180,AGROPEC CORUMBIARA SA,04.418.398/0001-31,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 24/10/2012
516821,AGROPEC CUPISSURA SA,12.907.572/0001-38,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
505811,AGROPEC DA BARRA SA,13.027.644/0001-15,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
508284,AGROPEC DA STA CRUZ SA,14.056.386/0001-68,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
519669,AGROPEC DA STA CRUZ SA,14.056.386/0001-68,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 08/11/2013
507091,AGROPEC DEMETRIO SA,04.376.224/0001-53,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
520705,AGROPEC DEMETRIO SA,04.376.224/0001-53,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 08/01/2018
